0,Justin K.,"Richmond, BC","Went for New Year's Eve dinner and as always, Miku did not disappoint. It wasn't their fault but due to COVID restrictions, Bonnie Henry just announced no alcohol after 8:00pm so luckily we reserved our table at 7:00pm. We decided to go with the Waterfront Kaiseki for $88 which included 5 dishes. We started off with their hamachi crudo, chef's selection sashimi, baked saikyo miso sablefish, miku signature sushi selection and ended with their green tea opera. Everything was delicious and experience was top notch as always.As I've been here many times, the experience never gets old and the service is always a big reason why I come back. I will definitely come back when the restrictions get better as the waterfront view never disappoints!",3/16/2021,5 star rating
1,Colin W.,"San Francisco, United States","Hands down, the best place in town for high quality sushi / seafood and ambience / view. Despite COVID indoor dining restrictions, Miku has a beautiful wraparound patio that is heated and insulated from the wind by glass panes. Both raw and cooked seafood was fresh and delicious.Service was tremendous as well. We had some dairy dietary restrictions and the kitchen made replacements without compromising on taste!",4/19/2021,5 star rating
2,Katy E.,"Vancouver, BC","Expensive but great quality fish. They've reduced their prices in covid so it's worth a look if you usually rule it out for price, the lunch specials are great for a lunch if you can expense it.",9/23/2020,5 star rating
3,Melody T.,"Vancouver, BC","DELICIOUS AND FRESH! I always love Miku everytime I go! I love their sushi, desserts and refreshing drinks. Would recommend to drop by. Also the interior is pretty and has an open concept. You get greeted by the chefs and staff once you enter. The only think that was ok was the strawberry pistachio mousse cake. It had too much mousse. Tasted like a chunk of whip cream",4/3/2021,5 star rating
4,Celina H.,"Vancouver, BC","About 3 yrs ago, 5 of us were having dinner at Miku, one of the dish we've ordered was the Japanese imported I believe a Wagyu Steak in Vacuum pack... $290 - $295 That Steak came & it was over cooked & tasted like a Boring FLANK STEAL!!!I called the Manager & he didn't care, he did apologized as though I stepped on Poo at his restaurant!  Miku is just Trendy, food quality is good but expensive! Sashimi freshness is 7.5 out of 10! Vancouver has lots of good restaurants not great restaurants, as service goes?!? Do some traveling, just don't go to T.O. for food! We're looking so forward to be back to Japan when the Pandemic is over, we go Atleast twice a year!",2/19/2021,1 star rating
5,Kelly N.,"Vancouver, BC",My fav sushi in Vancouver!  I got to go for Mother's Day dinner and it was amazing.  All the dishes were beautifully presented and the taste matched! I wasn't able to capture all the food unfortunately ;( My son asked to use my phone for you tube while my husband and I ate the sushi and the rest of the dishes!!!!,5/13/2021,5 star rating
6,Joelle L.,"Burnaby, BC",Had the best dining experience at Miku! We got the Waterfront Kaiseki for 2 which was $88/person. So worth the price. The set menu came with 5 dishes that are surprisingly filling!!! Each dish was executed perfectly and took a total of almost 2.5 hours to finish. It was one of the best dinners I've had in a long time. Thank you Miku!,1/31/2021,5 star rating
7,Carmen H.,"Burnaby, BC","It was our first time trying Miku and we were super excited about it! Unfortunately, it was not what we expected. Either it's overhyped or our expectations were too high for Miku. Prices are definitely on the higher end; however, thanks to UberEats for 50% off coupons, we were able to try Miku at a feasible price. We ordered the Aburi Oshi and Roll Tier that consisted of 3 different types of Aburi Oshi (Salmon, Ebi, Saba), Red Wave Roll and the Miku Roll. We can definitely taste the fresh ingredients they've used (even real crab meat), but we wouldn't say it's high quality ingredients. The cut used in the Red Wave Roll was quite lean, making the salmon tough. The sauce on the Aburi Oshi's were delicious, but the texture wasn't like ""melt in your mouth"" type of Aburi. The sushi didn't fall apart when we picked it up, but the texture of the rice was quite dense and mushy (refer to the last photo). Based on the sushi we've had in Japan, you should be able to visually see the pieces of rice individually and it shouldn't have a overly sticky texture. Overall, it wasn't too bad. Our favourite roll from this platter would definitely be the ""Miku Roll"". However, we wouldn't pay full price for their sushi since we were expecting better quality for the price of it. Maybe we'll give it another try to confirm how we feel about the food.",12/30/2020,3 star rating
8,Cindy K.,"Vancouver, BC","Love Granville, BC, Restaurant right on The Shipping Dock (Water). You can only dine out on the Patio outside. It was really pleasant (even with the rain). Warm, heater outside on the patio. I had a warm sushi platter set with miso and salad for only $43. It was a really warm, pleasant environment. I had a really relaxing lunch. Great experience eating at Granville Island again. It was great outside with fresh air.",4/11/2021,4 star rating
9,Melody W.,"Vancouver, BC","Came here for the $135 Miku Kaiseki menu.  Pre-covid times Miku was such a hopping place and it took planning to make a reservation.  Definitely not the case anymore as they only offered 2 seatings: 5pm and 8pm, but also some walk-ins as well.  We arrived at 7:25pm hoping to be seated earlier and it was fine.  Didn't have the expected level of service for dinner, took a while for the server to come by and he forgot what we ordered twice.  This being Miku you would probably expect your server to be extremely proficient and knowledgeable but this was not the case.  When asked about several sakes, we were told that one was....funky.  Probably not the best way to sell a sake, as funky could mean anything from bad armpit funky, or fermented rice good kinda funky.  Anyway, we did ask for a taste for both and decided to go with the ""funky"" one which I would describe as a more woodsy bamboo flavour and not too acidic and sweet.  Definitely not funky.The food itself was good, but the timing was way off.  We had to wait 10-15 min between each menu item which meant we sat there for 3 hours for the entire meal, and with a 8pm seating means you are not done until 11pm (and remember that alcohol cut off is now 10pm so you better anticipate what you want to pair your last few dishes with before the rude awakening!)The kaiseki set included:1. Snow crab sunomono - good!2. Ume Glazed Octopus - really delicious, think of it as a de-constructed salad3. Akamiso duck breast - highlight of this was the tempeh! 4. Sashimi - good as always5. Pan seared scallop - I felt like this didn't really fit in with the rest of the set - the miso was very faint, and more prominently corn chowder-ish6. Surf and turf - the lobster tail was perfectly done, and even the carrots were amazing!7. Miku signature sushi collection - always delicious! 8. Strawberry Basil tart - nice and tart; although I find the white peach sorbet a little too acidic.What I would do differently is probably order a la carte instead of the kaiseki - and focusing on what they are good at which is sashimi, and aburi.  The set was a good way to try various options if you have never been to Miku before, however I really feel like it was not a good representation on their menu or the quality of the food.  Skip the set and focus on the aburi!",9/27/2020,3 star rating
